Time [sec],Acceleration [cm/sec2]
0,0
0.01,-0.01489
0.02,-0.02978
0.03,-0.02978
0.04,-0.02977
0.05,-0.02976
0.06,-0.02975
0.07,-0.02974
0.08,-0.02973
0.09,-0.02972
0.1,-0.0297
0.11,-0.02969
0.12,-0.02967
0.13,-0.02965
0.14,-0.02963
0.15,-0.02961
0.16,-0.02959
0.17,-0.02957
0.18,-0.02955
0.19,-0.02952
0.2,-0.0295
0.21,-0.02947
0.22,-0.02944
0.23,-0.02942
0.24,-0.02939
0.25,-0.02936
0.26,-0.02933
0.27,-0.0293
0.28,-0.02927
0.29,-0.02924
0.3,-0.0292
0.31,-0.02917
0.32,-0.02913
0.33,-0.0291
0.34,-0.02906
0.35,-0.02903
0.36,-0.02899
0.37,-0.02896
0.38,-0.02892
0.39,-0.02888
0.4,-0.02884
0.41,-0.0288
0.42,-0.02876
0.43,-0.02873
0.44,-0.02869
0.45,-0.02865
0.46,-0.02861
0.47,-0.02857
0.48,-0.02853
0.49,-0.02849
0.5,-0.02845
0.51,-0.0284
0.52,-0.02836
0.53,-0.02832
0.54,-0.02828
0.55,-0.02824
0.56,-0.0282
0.57,-0.02816
0.58,-0.02812
0.59,-0.02807
0.6,-0.02803
0.61,-0.02799
0.62,-0.02795
0.63,-0.02791
0.64,-0.02787
0.65,-0.02783
0.66,-0.02779
0.67,-0.02775
0.68,-0.02771
0.69,-0.02767
0.7,-0.02763
0.71,-0.02759
0.72,-0.02755
0.73,-0.02751
0.74,-0.02747
0.75,-0.02744
0.76,-0.0274
0.77,-0.02736
0.78,-0.02733
0.79,-0.02729
0.8,-0.02725
0.81,-0.02722
0.82,-0.02719
0.83,-0.02715
0.84,-0.02711
0.85,-0.02707
0.86,-0.02703
0.87,-0.02701
0.88,-0.02699
0.89,-0.02695
0.9,-0.02692
0.91,-0.0269
0.92,-0.02688
0.93,-0.02684
0.94,-0.02679
0.95,-0.02675
0.96,-0.02674
0.97,-0.02673
0.98,-0.02669
0.99,-0.02663
1,-0.02661
1.01,-0.02663
1.02,-0.02661
1.03,-0.02654
1.04,-0.02651
1.05,-0.02654
1.06,-0.02651
1.07,-0.02644
1.08,-0.02648
1.09,-0.02648
1.1,-0.02643
1.11,-0.02645
1.12,-0.02643
1.13,-0.02634
1.14,-0.02635
1.15,-0.02635
1.16,-0.02625
1.17,-0.0263
1.18,-0.02641
1.19,-0.02626
1.2,-0.02613
1.21,-0.02627
1.22,-0.02631
1.23,-0.02611
1.24,-0.02605
1.25,-0.02621
1.26,-0.0263
1.27,-0.02623
1.28,-0.02606
1.29,-0.02608
1.3,-0.02617
1.31,-0.0259
1.32,-0.02583
1.33,-0.02617
1.34,-0.02618
1.35,-0.02604
1.36,-0.02595
1.37,-0.02568
1.38,-0.02576
1.39,-0.02594
1.4,-0.02577
1.41,-0.02586
1.42,-0.02603
1.43,-0.02585
1.44,-0.0259
1.45,-0.02609
1.46,-0.02608
1.47,-0.02605
1.48,-0.02602
