Time [sec],Acceleration [cm/sec2]
0,0
0.01,-0.08419
0.02,-0.16826
0.03,-0.16806
0.04,-0.16784
0.05,-0.16761
0.06,-0.16735
0.07,-0.16707
0.08,-0.16678
0.09,-0.16646
0.1,-0.16613
0.11,-0.16578
0.12,-0.16542
0.13,-0.16504
0.14,-0.16464
0.15,-0.16423
0.16,-0.1638
0.17,-0.16336
0.18,-0.1629
0.19,-0.16243
0.2,-0.16194
0.21,-0.16144
0.22,-0.16093
0.23,-0.1604
0.24,-0.15986
0.25,-0.15931
0.26,-0.15874
0.27,-0.15817
0.28,-0.15758
0.29,-0.15697
0.3,-0.15636
0.31,-0.15573
0.32,-0.15509
0.33,-0.15443
0.34,-0.15377
0.35,-0.15308
0.36,-0.15239
0.37,-0.15169
0.38,-0.15097
0.39,-0.15023
0.4,-0.14949
0.41,-0.14873
0.42,-0.14795
0.43,-0.14716
0.44,-0.14636
0.45,-0.14554
0.46,-0.1447
0.47,-0.14385
0.48,-0.14297
0.49,-0.14208
0.5,-0.14118
0.51,-0.14025
0.52,-0.1393
0.53,-0.13834
0.54,-0.13736
0.55,-0.13634
0.56,-0.1353
0.57,-0.13425
0.58,-0.13318
0.59,-0.13208
0.6,-0.13094
0.61,-0.12979
0.62,-0.12861
0.63,-0.12738
0.64,-0.12612
0.65,-0.12483
0.66,-0.12355
0.67,-0.12225
0.68,-0.12089
0.69,-0.11946
0.7,-0.11799
0.71,-0.1165
0.72,-0.11497
0.73,-0.11337
0.74,-0.11174
0.75,-0.11014
0.76,-0.10855
0.77,-0.10683
0.78,-0.1049
0.79,-0.10303
0.8,-0.10134
0.81,-0.09954
0.82,-0.09741
0.83,-0.09518
0.84,-0.09306
0.85,-0.09103
0.86,-0.08899
0.87,-0.08684
0.88,-0.08446
0.89,-0.08184
0.9,-0.07927
0.91,-0.077
0.92,-0.07473
0.93,-0.07201
0.94,-0.06902
0.95,-0.06602
0.96,-0.06309
0.97,-0.06029
0.98,-0.05746
0.99,-0.05443
1,-0.05132
1.01,-0.04822
1.02,-0.04493
1.03,-0.04128
1.04,-0.03759
1.05,-0.03417
1.06,-0.03071
1.07,-0.02706
1.08,-0.02345
1.09,-0.01971
1.1,-0.01565
1.11,-0.01144
1.12,-0.00729
1.13,-0.00332
1.14,0.00095
1.15,0.00614
1.16,0.01149
1.17,0.01573
1.18,0.01943
1.19,0.0242
1.2,0.02978
1.21,0.03479
1.22,0.03952
1.23,0.0448
1.24,0.05
1.25,0.05502
1.26,0.06075
1.27,0.06679
1.28,0.07247
1.29,0.07837
1.3,0.08453
1.31,0.08995
1.32,0.09503
1.33,0.10144
1.34,0.10868
1.35,0.11466
1.36,0.11972
1.37,0.12581
1.38,0.13287
1.39,0.13989
1.4,0.14711
1.41,0.15449
1.42,0.16097
1.43,0.16699
1.44,0.17435
1.45,0.18298
1.46,0.19105
1.47,0.19816
1.48,0.20699
1.49,0.21959
1.5,0.23099
1.51,0.23511
1.52,0.23722
1.53,0.24529
1.54,0.25498
1.55,0.26057
1.56,0.26701
1.57,0.27815
1.58,0.28849
1.59,0.29311
1.6,0.29676
1.61,0.30712
1.62,0.32138
1.63,0.33076
1.64,0.33572
1.65,0.34229
1.66,0.35181
1.67,0.3633
1.68,0.37513
1.69,0.38439
1.7,0.39024
1.71,0.39426
1.72,0.40042
1.73,0.41336
1.74,0.42647
1.75,0.42746
1.76,0.4405
1.77,0.49815
1.78,0.44326
1.79,-0.04508
1.8,-0.7605
1.81,-0.77578
1.82,0.0981
1.83,0.71322
1.84,0.55083
1.85,0.37849
1.86,0.47453
1.87,0.48878
1.88,0.46516
1.89,0.4965
1.9,0.50152
1.91,0.51172
1.92,0.52304
1.93,0.51888
1.94,0.53663
1.95,0.54819
1.96,0.54765
1.97,0.56009
1.98,0.57134
1.99,0.583
2,0.59592
2.01,0.5979
2.02,0.59681
2.03,0.60011
2.04,0.61163
2.05,0.62878
2.06,0.63765
2.07,0.63994
2.08,0.64488
2.09,0.65167
2.1,0.66165
2.11,0.67214
2.12,0.67417
2.13,0.67334
2.14,0.68134
2.15,0.69503
2.16,0.70669
2.17,0.71095
2.18,0.70347
2.19,0.69403
2.2,0.69899
2.21,0.71693
2.22,0.7333
2.23,0.74196
2.24,0.74819
2.25,0.75233
2.26,0.74834
2.27,0.7409
2.28,0.73957
2.29,0.74654
2.3,0.76125
2.31,0.77398
2.32,0.76933
2.33,0.75731
2.34,0.7657
2.35,0.78295
2.36,0.765
2.37,0.76159
2.38,0.87038
2.39,0.73606
2.4,-0.40453
2.41,-2.0598
2.42,-2.06947
2.43,-0.04655
2.44,1.34121
2.45,0.94162
2.46,0.52075
2.47,0.71333
2.48,0.73817
2.49,0.67332
2.5,0.71631
2.51,0.70414
2.52,0.70939
2.53,0.71181
2.54,0.66371
2.55,0.66201
2.56,0.67709
2.57,0.67974
2.58,0.68992
2.59,0.68241
2.6,0.67022
2.61,0.65875
2.62,0.64206
2.63,0.64183
2.64,0.64089
2.65,0.62626
2.66,0.62326
2.67,0.63194
2.68,0.63372
2.69,0.62182
2.7,0.60287
2.71,0.59105
2.72,0.58473
2.73,0.57114
2.74,0.55198
2.75,0.5378
2.76,0.53359
2.77,0.53327
2.78,0.52084
2.79,0.53383
2.8,0.56706
2.81,0.58035
2.82,0.58327
2.83,0.58211
2.84,0.59337
2.85,0.60079
2.86,0.58942
2.87,0.57677
2.88,0.5784
2.89,0.58457
2.9,0.58661
2.91,0.59394
2.92,0.60798
2.93,0.61089
2.94,0.60335
2.95,0.60799
2.96,0.62022
2.97,0.61765
2.98,0.60977
2.99,0.6164
3,0.62472
3.01,0.61181
3.02,0.59201
3.03,0.60191
3.04,0.63219
3.05,0.64368
3.06,0.64335
3.07,0.64943
3.08,0.64679
3.09,0.63753
3.1,0.63755
3.11,0.64048
3.12,0.64476
3.13,0.65576
3.14,0.66416
3.15,0.66413
3.16,0.66427
3.17,0.67015
3.18,0.67531
3.19,0.67458
3.2,0.67473
3.21,0.67837
3.22,0.67785
3.23,0.67631
3.24,0.68
3.25,0.67873
3.26,0.67286
3.27,0.67812
3.28,0.68636
3.29,0.68227
3.3,0.67908
3.31,0.69172
3.32,0.71135
3.33,0.71877
3.34,0.70543
3.35,0.68809
3.36,0.68829
3.37,0.697
3.38,0.69757
3.39,0.69865
3.4,0.70267
3.41,0.69699
3.42,0.69001
3.43,0.69231
3.44,0.69394
3.45,0.69578
3.46,0.70812
3.47,0.72317
3.48,0.72522
3.49,0.71513
3.5,0.71069
3.51,0.71526
3.52,0.71574
3.53,0.71955
3.54,0.73299
3.55,0.73668
3.56,0.73206
3.57,0.73515
3.58,0.7344
3.59,0.72574
3.6,0.72639
3.61,0.73338
3.62,0.73867
3.63,0.75182
3.64,0.76372
3.65,0.75047
3.66,0.72628
3.67,0.72489
3.68,0.7395
3.69,0.74129
3.7,0.7329
3.71,0.73657
3.72,0.75009
3.73,0.74956
3.74,0.7361
3.75,0.73965
3.76,0.75992
3.77,0.76492
3.78,0.75557
3.79,0.75821
3.8,0.77263
3.81,0.78286
3.82,0.78307
3.83,0.77722
3.84,0.77851
3.85,0.7902
3.86,0.7934
3.87,0.7815
3.88,0.77253
3.89,0.77628
3.9,0.78451
3.91,0.7879
3.92,0.7877
3.93,0.79236
3.94,0.79734
3.95,0.78793
3.96,0.77654
3.97,0.79077
3.98,0.81381
3.99,0.80736
4,0.78541
4.01,0.78215
4.02,0.789
4.03,0.79292
4.04,0.80482
4.05,0.81782
4.06,0.81122
4.07,0.79384
4.08,0.7908
4.09,0.79919
4.1,0.79573
4.11,0.78226
4.12,0.77921
4.13,0.78838
4.14,0.8016
4.15,0.80924
4.16,0.79945
4.17,0.7871
4.18,0.79836
4.19,0.82062
4.2,0.82449
4.21,0.80855
4.22,0.7954
4.23,0.80788
4.24,0.83723
4.25,0.84184
4.26,0.81432
4.27,0.80299
4.28,0.82139
4.29,0.82659
4.3,0.81424
4.31,0.81413
4.32,0.82009
4.33,0.82109
4.34,0.82115
4.35,0.81158
4.36,0.79501
4.37,0.79096
4.38,0.80186
4.39,0.81528
4.4,0.82152
4.41,0.81822
4.42,0.80585
4.43,0.78651
4.44,0.77424
4.45,0.78415
4.46,0.80924
4.47,0.82685
4.48,0.82124
4.49,0.80169
4.5,0.79654
4.51,0.8138
4.52,0.8276
4.53,0.82223
4.54,0.81459
4.55,0.81586
4.56,0.81691
4.57,0.81706
4.58,0.81739
4.59,0.80912
4.6,0.80278
4.61,0.8156
4.62,0.83176
4.63,0.8286
4.64,0.81139
4.65,0.79493
4.66,0.78676
4.67,0.79327
4.68,0.81044
4.69,0.8131
4.7,0.79276
4.71,0.78143
4.72,0.79077
4.73,0.79106
4.74,0.78119
4.75,0.785
4.76,0.79101
4.77,0.78447
4.78,0.77992
4.79,0.77928
4.8,0.77675
4.81,0.78205
4.82,0.78455
4.83,0.76956
4.84,0.76962
4.85,0.8092
4.86,0.84061
4.87,0.81712
4.88,0.77565
4.89,0.76929
4.9,0.78001
4.91,0.7744
4.92,0.76451
4.93,0.76384
4.94,0.76485
4.95,0.76338
4.96,0.75669
4.97,0.74283
4.98,0.72587
4.99,0.70175
5,0.66372
5.01,0.61875
5.02,0.5682
5.03,0.49472
