Time [sec],Acceleration [cm/sec2]
0,0
0.01,-10.17735
0.02,-20.34064
0.03,-20.31117
0.04,-20.27104
0.05,-20.22088
0.06,-20.16136
0.07,-20.09316
0.08,-20.01698
0.09,-19.9335
0.1,-19.84342
0.11,-19.74747
0.12,-19.64636
0.13,-19.54085
0.14,-19.43164
0.15,-19.31945
0.16,-19.20492
0.17,-19.08865
0.18,-18.9713
0.19,-18.85366
0.2,-18.73663
0.21,-18.621
0.22,-18.50715
0.23,-18.39506
0.24,-18.28468
0.25,-18.17616
0.26,-18.07005
0.27,-17.96817
0.28,-17.87375
0.29,-17.78854
0.3,-17.71001
0.31,-17.63459
0.32,-17.56244
0.33,-17.4943
0.34,-17.4297
0.35,-17.37256
0.36,-17.32634
0.37,-17.28388
0.38,-17.239
0.39,-17.19906
0.4,-17.17039
0.41,-17.14833
0.42,-17.12905
0.43,-17.11385
0.44,-17.10293
0.45,-17.09547
0.46,-17.09112
0.47,-17.08823
0.48,-17.08548
0.49,-17.09122
0.5,-17.1288
0.51,-17.2124
0.52,-17.31364
0.53,-17.38328
0.54,-17.41096
0.55,-17.42625
0.56,-17.415
0.57,-17.26735
0.58,-16.90622
0.59,-16.47061
0.6,-16.21429
0.61,-16.20381
0.62,-16.26145
0.63,-16.22406
0.64,-16.16308
0.65,-16.22194
0.66,-16.2944
0.67,-16.18125
0.68,-15.95977
0.69,-15.86074
0.7,-16.04482
0.71,-16.53785
0.72,-16.89081
0.73,-16.18459
0.74,-13.99937
0.75,-11.1262
0.76,-8.89027
0.77,-7.987
0.78,-8.19822
0.79,-8.8326
0.8,-9.14619
0.81,-8.83457
0.82,-8.39193
0.83,-8.50745
0.84,-9.17091
0.85,-9.96311
0.86,-10.72872
0.87,-11.26834
0.88,-11.15837
0.89,-10.26607
0.9,-8.46427
0.91,-4.95711
0.92,0.97093
0.93,8.45547
0.94,14.94659
0.95,17.90571
0.96,16.63346
0.97,12.68698
0.98,8.52644
0.99,5.35575
1,2.82392
1.01,1.05418
1.02,1.50965
1.03,5.47962
1.04,12.29996
1.05,18.77388
1.06,21.2657
1.07,19.42514
1.08,16.22631
1.09,14.17933
1.1,14.32916
1.11,18.07425
1.12,26.08321
1.13,36.11192
1.14,44.2865
1.15,47.76289
1.16,46.31718
1.17,42.62397
1.18,39.74575
1.19,37.7369
1.2,34.39005
1.21,29.10759
1.22,24.0305
1.23,21.89635
1.24,24.44725
1.25,31.52031
1.26,40.19162
1.27,46.51573
1.28,49.14174
1.29,50.02369
1.3,33.77253
1.31,17.28761
1.32,16.69726
1.33,14.39545
1.34,11.50018
1.35,8.85233
1.36,6.26379
1.37,2.71734
1.38,-2.8539
1.39,-10.15351
1.4,-17.17494
1.41,-21.58785
1.42,-21.64938
1.43,-16.38049
1.44,-6.93126
1.45,2.80017
1.46,9.21264
1.47,12.21421
1.48,13.7501
1.49,14.5243
1.5,14.50731
1.51,14.86791
1.52,16.03271
1.53,15.397
1.54,10.41679
1.55,2.55181
1.56,-4.33423
1.57,-7.36563
1.58,-5.3829
1.59,0.30626
1.6,5.59042
1.61,6.97762
1.62,4.53913
1.63,0.17882
1.64,-4.34993
1.65,-7.08173
1.66,-6.27769
1.67,-1.59285
1.68,5.65154
1.69,12.23668
1.7,14.59603
1.71,12.67648
1.72,10.45866
1.73,11.26949
1.74,13.46602
1.75,11.33478
1.76,0.97323
1.77,-14.93652
1.78,-29.17947
1.79,-36.17348
1.8,-35.66193
1.81,-31.01057
1.82,-25.15349
1.83,-19.60972
1.84,-15.50144
1.85,-12.72458
1.86,-9.97913
1.87,-6.96167
1.88,-4.28778
1.89,-1.93491
1.9,0.25634
1.91,2.49033
1.92,5.05544
1.93,5.72721
1.94,0.84623
1.95,-8.51227
1.96,-16.59208
1.97,-19.40492
1.98,-17.07314
1.99,-12.33489
2,-8.90689
2.01,-8.42352
2.02,-8.85238
2.03,-7.30185
2.04,-3.59058
2.05,-1.12063
2.06,-3.7073
2.07,-10.24769
2.08,-14.74803
2.09,-13.38784
2.1,-8.98783
2.11,-7.24064
2.12,-10.91583
2.13,-19.00858
2.14,-28.82465
2.15,-36.55956
2.16,-38.43892
2.17,-33.50783
2.18,-23.83891
2.19,-11.96466
2.2,0.57995
2.21,12.12792
2.22,19.35571
2.23,18.55669
2.24,8.3491
2.25,-8.91057
2.26,-26.73778
2.27,-37.1801
2.28,-36.66787
2.29,-29.00803
2.3,-22.69285
2.31,-24.04725
2.32,-31.03792
2.33,-36.2144
2.34,-35.70937
2.35,-31.31742
2.36,-25.71477
2.37,-19.04017
2.38,-8.67877
2.39,7.22266
2.4,25.32067
2.41,39.06181
2.42,44.87231
2.43,43.71643
2.44,38.74934
2.45,33.99904
2.46,32.57022
2.47,34.50934
2.48,38.18837
2.49,42.20833
2.5,44.67586
2.51,44.97053
