Time [sec],Acceleration [cm/sec2]
0,0
0.01,0.00485
0.02,0.00968
0.03,0.00963
0.04,0.00957
0.05,0.00949
0.06,0.00941
0.07,0.00931
0.08,0.00921
0.09,0.00909
0.1,0.00896
0.11,0.00882
0.12,0.00867
0.13,0.00851
0.14,0.00834
0.15,0.00816
0.16,0.00798
0.17,0.00778
0.18,0.00758
0.19,0.00736
0.2,0.00713
0.21,0.00691
0.22,0.00668
0.23,0.00644
0.24,0.00618
0.25,0.00592
0.26,0.00566
0.27,0.00539
0.28,0.00519
0.29,0.00485
0.3,0.00438
0.31,0.00436
0.32,0.00409
0.33,0.00348
0.34,0.00341
0.35,0.00303
0.36,0.00267
0.37,0.0026
0.38,0.002
0.39,0.00179
0.4,0.00152
0.41,0.00102
0.42,0.00093
0.43,0.00061
0.44,0.00023
0.45,-0.00072
0.46,-0.00073
0.47,-0.00015
0.48,-0.00164
0.49,-0.00178
0.5,-0.00106
0.51,-0.00208
0.52,-0.00285
0.53,-0.00371
0.54,-0.00308
0.55,-0.00272
0.56,-0.00511
0.57,-0.00451
0.58,-0.0038
0.59,-0.00553
0.6,-0.00334
0.61,-0.0043
0.62,-0.00913
0.63,-0.00681
0.64,-0.00502
0.65,-0.0056
0.66,-0.00518
0.67,-0.01032
0.68,-0.00938
0.69,-0.0042
0.7,-0.00792
0.71,-0.00771
0.72,-0.00724
0.73,-0.01082
0.74,-0.00648
0.75,-0.00584
0.76,-0.0106
0.77,-0.00989
0.78,-0.00948
0.79,-0.00772
0.8,-0.00666
0.81,-0.01238
0.82,-0.01115
0.83,-0.00597
0.84,-0.0109
0.85,-0.01097
0.86,-0.00654
0.87,-0.01161
0.88,-0.01192
0.89,-0.00317
0.9,0.00116
0.91,0.00028
0.92,-0.00291
0.93,0.0004
0.94,0.00138
0.95,-0.00644
0.96,0.00071
0.97,0.00485
0.98,-0.00533
0.99,0.00009
1,0.00385
1.01,-0.00502
1.02,-0.00115
1.03,0.00186
1.04,-0.00086
1.05,0.002
1.06,-0.00309
1.07,-0.00519
1.08,0.00332
1.09,0.00352
1.1,-0.0008
1.11,-0.00301
1.12,-0.00285
1.13,0.00254
1.14,0.00333
1.15,-0.00238
1.16,-0.00131
1.17,0.00568
1.18,0.00558
1.19,0.00091
1.2,0.00119
1.21,0.00683
1.22,0.01084
1.23,0.00091
1.24,-0.00524
1.25,0.01767
1.26,0.03804
1.27,0.02395
1.28,-0.00094
1.29,-0.00074
1.3,0.00094
1.31,-0.0481
1.32,-0.06399
1.33,0.03474
1.34,0.07649
1.35,-0.00328
1.36,0.02453
1.37,0.12741
1.38,0.03352
1.39,-0.12622
1.4,-0.04171
1.41,0.10714
1.42,0.03821
1.43,-0.02427
1.44,0.0316
1.45,-0.04749
1.46,-0.08948
1.47,0.07669
1.48,0.08607
1.49,-0.0337
1.5,0.03436
1.51,0.1286
1.52,0.06766
1.53,-0.01662
1.54,-0.01962
1.55,-0.15023
1.56,-0.37383
1.57,-0.06064
1.58,0.49041
1.59,0.18552
1.6,-0.38007
1.61,-0.07537
1.62,0.22903
1.63,-0.08607
1.64,-0.13203
1.65,-0.07061
1.66,-0.07428
1.67,0.4305
1.68,0.35173
1.69,-0.3999
1.7,-0.21415
1.71,0.03026
1.72,-0.30913
1.73,-0.01895
1.74,0.40745
1.75,0.45845
1.76,0.34547
1.77,-0.19441
1.78,-0.34928
1.79,-0.18707
1.8,-0.63644
1.81,-0.59098
1.82,0.18913
1.83,0.59954
1.84,0.85989
1.85,0.76277
1.86,-0.1699
1.87,-0.92112
1.88,-0.5512
1.89,0.17594
1.9,0.04177
1.91,-0.17123
1.92,0.25227
1.93,0.18505
1.94,-0.08434
1.95,-0.07009
1.96,-0.43239
1.97,-0.3052
1.98,0.2111
1.99,0.07179
2,0.3775
2.01,0.8103
2.02,0.11943
2.03,-0.51661
2.04,-0.64545
2.05,-0.56349
2.06,0.09799
2.07,0.45516
2.08,0.18373
2.09,0.18919
2.1,0.22916
2.11,-0.03797
2.12,-0.13176
2.13,0.02574
2.14,0.05293
2.15,-0.15357
2.16,-0.41049
2.17,-0.27672
2.18,0.38181
2.19,0.66914
2.2,0.42622
2.21,0.18951
2.22,-0.25839
2.23,-0.38625
2.24,-0.16646
2.25,-0.44677
2.26,-0.2811
2.27,0.36759
2.28,0.13822
2.29,-0.14694
2.3,0.11072
2.31,0.10907
2.32,0.11308
2.33,0.0136
2.34,-0.38622
2.35,-0.20883
2.36,0.09754
2.37,0.08451
2.38,0.36047
2.39,0.21516
2.4,-0.48883
2.41,-0.49157
2.42,0.03856
2.43,0.20622
2.44,0.12699
2.45,0.28712
2.46,0.34123
2.47,-0.18923
2.48,-0.24551
2.49,0.33931
2.5,0.13288
2.51,-0.11249
2.52,0.22675
2.53,-0.0375
2.54,-0.29075
2.55,-0.22145
2.56,-0.51088
2.57,-0.20191
2.58,0.35946
2.59,0.02338
2.6,-0.07388
2.61,0.38398
2.62,0.12497
2.63,-0.29967
2.64,0.13625
2.65,0.2882
2.66,-0.02978
2.67,0.35125
2.68,0.16939
2.69,-0.75151
2.7,-0.36768
2.71,0.26671
2.72,-0.04948
2.73,0.07022
2.74,0.52941
2.75,0.23686
2.76,-0.33903
2.77,-0.44792
2.78,-0.38181
2.79,-0.17483
2.8,0.36534
2.81,0.50373
2.82,0.30968
2.83,0.15491
2.84,-0.38077
2.85,-0.5736
2.86,-0.01714
2.87,0.28059
2.88,0.21473
2.89,0.20102
2.9,0.02734
2.91,-0.19134
2.92,-0.17862
2.93,-0.14033
2.94,0.02426
2.95,0.22044
2.96,0.15479
2.97,0.11276
2.98,-0.08185
2.99,-0.2282
3,-0.05733
3.01,-0.29011
3.02,-0.19788
3.03,0.42867
3.04,0.18841
3.05,-0.01749
3.06,0.29906
3.07,-0.17964
3.08,-0.7435
3.09,-0.48996
3.1,0.11056
3.11,0.44845
3.12,0.24953
3.13,0.34858
3.14,0.42671
3.15,-0.38927
3.16,-0.39839
3.17,0.4686
3.18,0.04254
3.19,-0.71175
3.2,-0.29822
3.21,0.10688
3.22,0.00933
3.23,0.2791
3.24,0.5907
3.25,0.01265
3.26,-0.49418
3.27,-0.1024
3.28,-0.24907
3.29,-0.63576
3.3,-0.11775
3.31,-0.2667
3.32,-0.74537
3.33,-0.09682
3.34,-0.21758
3.35,-1.20231
3.36,-0.95777
3.37,-0.7847
3.38,-2.03398
3.39,-2.56257
3.4,-1.06077
3.41,1.18368
3.42,2.71545
3.43,2.74609
3.44,2.14047
3.45,1.64993
3.46,0.03498
3.47,-2.13362
3.48,-3.24702
3.49,-3.42495
3.5,-2.10823
3.51,0.34621
3.52,1.08938
3.53,-0.49845
3.54,-1.89358
3.55,-2.96114
3.56,-4.69572
3.57,-3.923
3.58,-0.10963
3.59,2.82984
3.6,5.58469
3.61,8.07609
3.62,6.55893
