Time [sec],Acceleration [cm/sec2]
0,0
0.01,-0.00442
0.02,-0.00883
0.03,-0.00883
0.04,-0.00883
0.05,-0.00883
0.06,-0.00883
0.07,-0.00883
0.08,-0.00882
0.09,-0.00882
0.1,-0.00882
0.11,-0.00881
0.12,-0.00881
0.13,-0.0088
0.14,-0.0088
0.15,-0.00879
0.16,-0.00879
0.17,-0.00878
0.18,-0.00877
0.19,-0.00877
0.2,-0.00876
0.21,-0.00876
0.22,-0.00875
0.23,-0.00874
0.24,-0.00873
0.25,-0.00872
0.26,-0.00872
0.27,-0.00871
0.28,-0.0087
0.29,-0.00869
0.3,-0.00868
0.31,-0.00867
0.32,-0.00866
0.33,-0.00865
0.34,-0.00864
0.35,-0.00863
0.36,-0.00862
0.37,-0.00861
0.38,-0.0086
0.39,-0.00859
0.4,-0.00858
0.41,-0.00857
0.42,-0.00856
0.43,-0.00855
0.44,-0.00854
0.45,-0.00853
0.46,-0.00852
0.47,-0.00851
0.48,-0.0085
0.49,-0.00849
0.5,-0.00848
0.51,-0.00847
0.52,-0.00846
0.53,-0.00845
0.54,-0.00844
0.55,-0.00843
0.56,-0.00842
0.57,-0.00841
0.58,-0.00839
0.59,-0.00839
0.6,-0.00838
0.61,-0.00837
0.62,-0.00836
0.63,-0.00835
0.64,-0.00834
0.65,-0.00833
0.66,-0.00832
0.67,-0.00831
0.68,-0.0083
0.69,-0.0083
0.7,-0.00829
0.71,-0.00828
0.72,-0.00827
0.73,-0.00826
0.74,-0.00826
0.75,-0.00824
0.76,-0.00824
0.77,-0.00823
0.78,-0.00823
0.79,-0.00823
0.8,-0.00822
0.81,-0.00821
0.82,-0.0082
0.83,-0.00821
0.84,-0.00822
0.85,-0.0082
0.86,-0.00817
0.87,-0.00819
0.88,-0.00819
0.89,-0.00817
0.9,-0.00818
0.91,-0.00817
0.92,-0.00815
0.93,-0.00816
0.94,-0.00817
0.95,-0.00818
0.96,-0.0082
0.97,-0.00816
0.98,-0.00813
0.99,-0.00819
1,-0.00823
1.01,-0.00823
1.02,-0.00819
1.03,-0.00815
1.04,-0.00819
1.05,-0.00822
1.06,-0.00819
1.07,-0.00816
1.08,-0.00812
1.09,-0.00811
1.1,-0.00823
1.11,-0.00825
1.12,-0.00816
1.13,-0.00817
1.14,-0.00821
1.15,-0.00819
1.16,-0.00819
1.17,-0.00816
1.18,-0.00813
1.19,-0.00822
1.2,-0.00829
1.21,-0.00824
1.22,-0.00821
1.23,-0.00829
1.24,-0.00828
1.25,-0.00815
1.26,-0.00821
1.27,-0.00833
1.28,-0.00827
1.29,-0.00832
1.3,-0.00839
1.31,-0.00833
1.32,-0.00837
1.33,-0.00821
1.34,-0.00805
1.35,-0.00849
1.36,-0.00862
1.37,-0.00821
1.38,-0.00822
1.39,-0.00841
1.4,-0.00851
1.41,-0.00861
1.42,-0.0084
1.43,-0.00836
1.44,-0.00865
1.45,-0.00866
1.46,-0.00845
1.47,-0.00845
1.48,-0.00869
1.49,-0.00878
1.5,-0.00852
1.51,-0.00848
1.52,-0.00883
1.53,-0.00898
1.54,-0.00898
1.55,-0.00895
1.56,-0.00854
1.57,-0.00817
1.58,-0.00817
1.59,-0.00839
1.6,-0.00853
1.61,-0.00828
1.62,-0.00836
1.63,-0.00867
1.64,-0.0085
1.65,-0.00899
1.66,-0.00952
1.67,-0.0091
1.68,-0.00885
1.69,-0.00843
1.7,-0.00882
1.71,-0.01011
1.72,-0.00938
1.73,-0.00846
1.74,-0.0093
1.75,-0.00905
1.76,-0.00812
1.77,-0.00863
1.78,-0.00918
1.79,-0.0089
1.8,-0.00914
1.81,-0.00931
1.82,-0.00859
1.83,-0.00847
1.84,-0.00826
1.85,-0.00843
1.86,-0.0109
1.87,-0.01064
1.88,-0.00737
1.89,-0.00864
1.9,-0.01155
1.91,-0.01113
1.92,-0.00994
1.93,-0.00878
1.94,-0.00846
1.95,-0.00903
1.96,-0.00949
1.97,-0.0109
1.98,-0.00983
1.99,-0.00685
2,-0.0078
2.01,-0.0088
2.02,-0.00822
2.03,-0.00919
2.04,-0.00836
2.05,-0.0078
2.06,-0.00972
2.07,-0.00928
2.08,-0.00937
2.09,-0.01119
2.1,-0.01016
2.11,-0.00957
2.12,-0.00969
2.13,-0.00821
2.14,-0.00847
2.15,-0.00808
2.16,-0.00662
2.17,-0.00934
2.18,-0.01289
2.19,-0.01364
2.2,-0.0126
2.21,-0.0106
2.22,-0.01163
2.23,-0.0131
2.24,-0.00971
2.25,-0.00891
2.26,-0.01191
2.27,-0.0104
2.28,-0.01086
2.29,-0.01522
2.3,-0.01303
2.31,-0.00971
2.32,-0.00987
2.33,-0.0079
2.34,-0.00724
2.35,-0.00818
2.36,-0.00705
2.37,-0.00698
2.38,-0.01076
2.39,-0.01475
2.4,-0.01175
2.41,-0.00657
2.42,-0.0063
2.43,-0.00624
2.44,-0.00759
2.45,-0.00993
2.46,-0.00801
2.47,-0.00769
2.48,-0.00961
2.49,-0.00911
2.5,-0.00674
2.51,-0.00449
2.52,-0.00881
2.53,-0.01055
2.54,-0.00071
2.55,-0.00044
2.56,-0.00762
2.57,-0.00329
2.58,-0.00123
2.59,-0.00443
2.6,-0.00638
2.61,-0.00963
2.62,-0.0034
2.63,0.00211
2.64,-0.00319
2.65,-0.00419
2.66,-0.00648
2.67,-0.009
2.68,-0.00715
2.69,-0.01182
2.7,-0.01135
2.71,-0.00769
2.72,-0.01165
2.73,-0.00938
2.74,-0.00401
2.75,-0.00241
2.76,-0.00295
2.77,-0.00721
2.78,-0.00483
2.79,0.0012
2.8,0.00045
2.81,0.00006
2.82,-0.00103
2.83,-0.00714
2.84,-0.00792
2.85,-0.00411
2.86,-0.01083
2.87,-0.01467
2.88,-0.00175
2.89,0.00123
2.9,-0.00373
2.91,0.00043
2.92,-0.00234
2.93,-0.00091
2.94,0.00674
2.95,-0.00265
2.96,-0.00658
2.97,-0.00044
2.98,-0.00791
2.99,-0.01057
3,-0.00093
3.01,0.0005
3.02,-0.00161
3.03,0.00417
3.04,0.00822
3.05,0.00502
3.06,0.00371
3.07,0.00178
3.08,-0.00276
3.09,0.00131
3.1,0.00945
3.11,0.0144
3.12,0.0158
3.13,0.00737
3.14,-0.00106
3.15,0.00071
3.16,0.00235
3.17,-0.00025
3.18,-0.00494
3.19,-0.00671
3.2,0.0028
3.21,0.01297
3.22,0.01169
3.23,0.00956
3.24,0.01017
3.25,0.00452
3.26,-0.0031
3.27,-0.01053
3.28,-0.0146
3.29,0.00035
3.3,0.01079
3.31,-0.00428
3.32,0.00062
3.33,0.02901
3.34,0.03369
3.35,0.01997
3.36,0.00611
3.37,0.00015
3.38,0.00785
3.39,0.00827
3.4,0.00353
3.41,0.00986
3.42,0.01546
3.43,0.01395
3.44,-0.00101
3.45,-0.01537
3.46,0.00461
3.47,0.02681
3.48,0.02001
3.49,0.02136
3.5,0.02456
3.51,0.00821
3.52,0.01251
3.53,0.02806
3.54,0.01869
3.55,0.0145
3.56,0.01317
3.57,-0.00647
3.58,-0.01231
3.59,0.00252
3.6,0.01856
3.61,0.01931
3.62,0.00696
3.63,0.01603
3.64,0.02226
3.65,0.00415
3.66,0.00696
3.67,0.00592
3.68,-0.01368
3.69,0.00708
3.7,0.02786
3.71,-0.00197
3.72,-0.00435
3.73,0.03291
3.74,0.02449
3.75,0.00661
3.76,0.02083
3.77,0.00327
3.78,-0.01165
3.79,0.00877
3.8,0.00219
3.81,0.00034
3.82,0.02841
3.83,0.03088
3.84,0.01597
3.85,0.0209
3.86,0.03098
3.87,0.01528
3.88,-0.00448
3.89,0.00398
3.9,0.01619
3.91,0.01436
3.92,0.00434
3.93,-0.00329
3.94,0.00045
3.95,-0.00979
3.96,-0.0306
3.97,-0.02545
3.98,-0.01005
3.99,-0.00623
4,-0.00085
4.01,0.00842
4.02,0.01744
4.03,0.02782
4.04,0.02133
4.05,0.00389
4.06,0.0242
4.07,0.0514
4.08,0.01778
4.09,-0.02225
4.1,-0.0082
4.11,0.02195
4.12,0.03689
4.13,0.03285
4.14,0.01994
4.15,0.02413
4.16,0.02498
4.17,0.00483
4.18,0.00914
4.19,0.02574
4.2,0.00304
4.21,-0.01786
4.22,-0.00623
4.23,0.00438
4.24,0.01076
4.25,0.01868
4.26,0.02223
4.27,0.02111
4.28,0.01257
4.29,-0.00172
4.3,-0.0022
4.31,0.02241
4.32,0.02993
4.33,0.01398
4.34,0.02031
4.35,0.02535
4.36,0.01362
4.37,0.00958
4.38,0.00914
4.39,0.02989
4.4,0.04397
4.41,0.00704
4.42,-0.0115
4.43,0.00473
4.44,0.00494
4.45,0.01572
4.46,0.01603
4.47,-0.01889
4.48,-0.02079
4.49,0.00674
4.5,0.00567
4.51,-0.00587
4.52,-0.00201
4.53,-0.00073
4.54,-0.01305
4.55,-0.00982
4.56,0.0097
4.57,0.00567
4.58,-0.0092
4.59,-0.0096
4.6,0.00114
4.61,-0.00245
4.62,-0.02227
4.63,-0.00497
4.64,0.01888
4.65,-0.00941
4.66,-0.02096
4.67,-0.00103
4.68,-0.0092
4.69,-0.01374
4.7,-0.00439
4.71,-0.00772
4.72,-0.00048
4.73,-0.00226
4.74,-0.02545
4.75,-0.01433
4.76,0.01418
4.77,0.00319
4.78,-0.02129
4.79,-0.01482
4.8,0.00736
4.81,-0.00032
4.82,-0.02278
4.83,-0.02408
4.84,-0.03231
4.85,-0.02908
4.86,0.01342
4.87,0.02434
4.88,-0.01063
4.89,-0.02445
4.9,0.00306
4.91,0.03191
4.92,0.01821
4.93,-0.0142
4.94,-0.02698
4.95,-0.02064
4.96,0.00405
4.97,0.01674
4.98,0.00593
4.99,0.01295
5,0.0175
5.01,-0.0007
5.02,0.00358
5.03,0.00984
5.04,-0.00762
5.05,-0.0011
5.06,0.01514
5.07,0.00812
5.08,0.01247
5.09,0.01105
5.1,-0.01923
5.11,-0.00395
5.12,0.04323
5.13,0.01681
5.14,-0.02716
5.15,-0.00885
5.16,0.00219
5.17,-0.00276
5.18,0.0094
5.19,-0.00466
5.2,-0.01648
5.21,0.00862
5.22,0.00988
5.23,-0.01487
5.24,-0.01889
5.25,0.0064
5.26,0.03966
5.27,0.03004
5.28,-0.0066
5.29,-0.01062
5.3,-0.00366
5.31,0.00114
5.32,0.01281
5.33,0.00644
5.34,0.00202
