Time [sec],Acceleration [cm/sec2]
0,0
0.01,-1.53285
0.02,-3.06653
0.03,-3.06741
0.04,-3.06784
0.05,-3.06786
0.06,-3.06752
0.07,-3.06685
0.08,-3.06589
0.09,-3.06468
0.1,-3.06326
0.11,-3.06167
0.12,-3.05995
0.13,-3.05813
0.14,-3.05626
0.15,-3.05437
0.16,-3.0525
0.17,-3.05069
0.18,-3.04896
0.19,-3.04736
0.2,-3.04592
0.21,-3.04468
0.22,-3.04367
0.23,-3.04294
0.24,-3.04253
0.25,-3.04242
0.26,-3.04262
0.27,-3.04317
0.28,-3.04409
0.29,-3.0454
0.3,-3.04712
0.31,-3.0495
0.32,-3.05257
0.33,-3.05587
0.34,-3.05964
0.35,-3.06424
0.36,-3.06919
0.37,-3.07469
0.38,-3.08102
0.39,-3.08775
0.4,-3.09548
0.41,-3.10466
0.42,-3.11439
0.43,-3.12421
0.44,-3.13465
0.45,-3.14562
0.46,-3.15577
0.47,-3.16617
0.48,-3.17909
0.49,-3.19261
0.5,-3.20585
0.51,-3.22193
0.52,-3.24112
0.53,-3.26046
0.54,-3.27781
0.55,-3.29315
0.56,-3.30626
0.57,-3.32009
0.58,-3.33819
0.59,-3.34988
0.6,-3.35591
0.61,-3.37666
0.62,-3.39905
0.63,-3.40497
0.64,-3.41123
0.65,-3.421
0.66,-3.43905
0.67,-3.46993
0.68,-3.48468
0.69,-3.50572
0.7,-3.55453
0.71,-3.56744
0.72,-3.55087
0.73,-3.5557
0.74,-3.56142
0.75,-3.57039
0.76,-3.58399
0.77,-3.58637
0.78,-3.6089
0.79,-3.64865
0.8,-3.65201
0.81,-3.612
0.82,-3.61955
0.83,-3.71249
0.84,-3.78783
0.85,-3.84125
0.86,-3.89947
0.87,-3.90223
0.88,-3.91331
0.89,-3.91494
0.9,-3.81692
0.91,-3.77584
0.92,-3.78999
0.93,-3.73008
0.94,-3.76519
0.95,-3.83334
0.96,-3.68499
0.97,-3.48885
0.98,-3.36983
0.99,-3.28662
1,-3.3423
1.01,-3.4587
1.02,-3.54462
1.03,-3.62735
1.04,-3.59269
1.05,-3.5298
1.06,-3.54947
1.07,-3.50248
1.08,-3.45054
1.09,-3.45299
1.1,-3.44666
1.11,-3.54053
1.12,-3.61215
1.13,-3.5181
1.14,-3.43837
1.15,-3.19613
1.16,-2.65088
1.17,-2.38861
1.18,-2.59408
1.19,-2.83108
1.2,-3.06179
1.21,-3.19143
1.22,-3.05349
1.23,-2.96737
1.24,-2.83453
1.25,-2.47345
1.26,-2.35585
1.27,-2.25899
1.28,-1.67532
1.29,-1.30629
1.3,-1.59308
1.31,-1.81037
1.32,-1.61281
1.33,-1.20257
1.34,-0.6669
1.35,-0.17012
1.36,0.4196
1.37,1.25445
1.38,1.7807
1.39,1.85404
1.4,1.83377
1.41,1.392
1.42,0.48007
1.43,-0.28262
1.44,-0.41428
1.45,0.32817
1.46,1.11575
1.47,1.35023
1.48,1.67009
1.49,1.67561
1.5,1.14484
1.51,0.85685
1.52,0.48556
1.53,0.11151
1.54,0.68654
1.55,1.81286
1.56,2.24422
1.57,2.20482
1.58,3.15541
1.59,4.66804
1.6,5.24813
1.61,5.63974
1.62,6.83673
1.63,7.81684
1.64,7.83845
1.65,7.70899
1.66,8.06963
1.67,8.43423
1.68,7.97892
1.69,6.85706
1.7,6.37903
1.71,6.88843
1.72,7.16919
1.73,7.12285
1.74,7.28919
1.75,6.8434
1.76,6.46563
1.77,7.73305
1.78,8.74515
1.79,8.31883
1.8,8.54584
1.81,8.83694
1.82,7.83272
1.83,7.88636
1.84,9.53432
1.85,10.01739
1.86,9.57255
1.87,10.05757
1.88,10.43146
1.89,10.26624
1.9,10.6246
1.91,10.85359
1.92,10.83579
1.93,11.15094
1.94,11.2604
1.95,11.15891
1.96,10.5557
1.97,9.43711
1.98,9.09278
1.99,9.06269
2,9.21559
2.01,10.1915
2.02,10.1901
2.03,9.77533
2.04,10.92496
2.05,12.15278
2.06,12.64117
2.07,12.67252
2.08,12.56366
2.09,13.38875
2.1,14.71635
2.11,15.62936
2.12,16.42084
2.13,17.65532
2.14,18.6651
2.15,18.83714
2.16,18.68627
2.17,17.98967
2.18,17.82743
2.19,18.50849
2.2,18.13022
2.21,17.97807
2.22,18.44206
2.23,18.06024
2.24,18.06763
2.25,18.1787
2.26,17.25266
2.27,15.91531
2.28,15.03111
2.29,15.31323
2.3,15.82413
2.31,16.65517
2.32,18.4803
2.33,18.70018
2.34,17.17295
