Time [sec],Acceleration [cm/sec2]
0,0
0.005,-1.18461
0.01,-2.36998
0.015,-2.37105
0.02,-2.37204
0.025,-2.37295
0.03,-2.37377
0.035,-2.37452
0.04,-2.37519
0.045,-2.37578
0.05,-2.37629
0.055,-2.37674
0.06,-2.37711
0.065,-2.37742
0.07,-2.37765
0.075,-2.37782
0.08,-2.37793
0.085,-2.37797
0.09,-2.37795
0.095,-2.37788
0.1,-2.37774
0.105,-2.37756
0.11,-2.37732
0.115,-2.37703
0.12,-2.37669
0.125,-2.3763
0.13,-2.37588
0.135,-2.37541
0.14,-2.3749
0.145,-2.37436
0.15,-2.37378
0.155,-2.37317
0.16,-2.37252
0.165,-2.37186
0.17,-2.37116
0.175,-2.37044
0.18,-2.3697
0.185,-2.36895
0.19,-2.36817
0.195,-2.36739
0.2,-2.3666
0.205,-2.36581
0.21,-2.36501
0.215,-2.36422
0.22,-2.36342
0.225,-2.36263
0.23,-2.36184
0.235,-2.36106
0.24,-2.36029
0.245,-2.35952
0.25,-2.35878
0.255,-2.35806
0.26,-2.35736
0.265,-2.3567
0.27,-2.35606
0.275,-2.35547
0.28,-2.35493
0.285,-2.35444
0.29,-2.35401
0.295,-2.35365
0.3,-2.35334
0.305,-2.35307
0.31,-2.35283
0.315,-2.35262
0.32,-2.35247
0.325,-2.35237
0.33,-2.35233
0.335,-2.35234
0.34,-2.35242
0.345,-2.35262
0.35,-2.35296
0.355,-2.35343
0.36,-2.354
0.365,-2.35463
0.37,-2.3553
0.375,-2.35602
0.38,-2.35675
0.385,-2.35752
0.39,-2.35832
0.395,-2.35917
0.4,-2.36009
0.405,-2.36111
0.41,-2.36228
0.415,-2.36367
0.42,-2.36532
0.425,-2.36729
0.43,-2.36959
0.435,-2.37217
0.44,-2.37498
0.445,-2.37798
0.45,-2.38111
0.455,-2.38426
0.46,-2.38726
0.465,-2.39008
0.47,-2.3928
0.475,-2.39561
0.48,-2.39875
0.485,-2.40242
0.49,-2.40675
0.495,-2.41165
0.5,-2.41696
0.505,-2.42244
0.51,-2.42778
0.515,-2.43263
0.52,-2.43683
0.525,-2.44045
0.53,-2.44379
0.535,-2.44716
0.54,-2.45096
0.545,-2.45573
0.55,-2.46177
0.555,-2.46894
0.56,-2.47722
0.565,-2.48682
0.57,-2.49791
0.575,-2.5101
0.58,-2.52259
0.585,-2.53471
0.59,-2.54598
0.595,-2.55588
0.6,-2.56412
0.605,-2.57106
0.61,-2.57762
0.615,-2.58472
0.62,-2.59265
0.625,-2.60095
0.63,-2.60876
0.635,-2.61549
0.64,-2.62108
0.645,-2.62588
0.65,-2.63076
0.655,-2.63689
0.66,-2.64472
0.665,-2.65355
0.67,-2.66226
0.675,-2.66995
0.68,-2.67628
0.685,-2.68208
0.69,-2.68955
0.695,-2.70122
0.7,-2.71809
0.705,-2.73849
0.71,-2.75913
0.715,-2.77742
0.72,-2.79307
0.725,-2.80767
0.73,-2.82339
0.735,-2.84229
0.74,-2.86574
0.745,-2.89341
0.75,-2.92393
0.755,-2.95719
0.76,-2.99451
0.765,-3.03768
0.77,-3.08898
0.775,-3.14912
0.78,-3.21365
0.785,-3.2734
0.79,-3.31885
0.795,-3.34233
0.8,-3.33961
0.805,-3.3136
0.81,-3.27602
0.815,-3.24352
0.82,-3.23064
0.825,-3.24309
0.83,-3.27457
0.835,-3.31124
0.84,-3.34038
0.845,-3.35395
0.85,-3.34886
0.855,-3.32945
0.86,-3.30613
0.865,-3.28846
0.87,-3.28112
0.875,-3.28066
