Period [sec],Damp.=5.0%
0,0
0.05,0.0532
0.1,0.264
0.15,0.68456
0.2,0.9426
0.25,1.58994
0.3,2.35687
0.35,4.39692
0.4,5.67011
0.45,6.99432
0.5,8.45625
0.55,9.26648
0.6,10.73824
0.65,12.58225
0.7,15.57184
0.75,18.51388
0.8,21.76689
0.85,24.89872
0.9,27.21977
0.95,28.43718
1,28.63076
1.05,28.2907
1.1,28.94588
1.15,28.99742
1.2,28.19442
1.25,26.7328
1.3,24.95664
1.35,23.60937
1.4,22.43217
1.45,21.10679
1.5,19.75293
1.55,18.97434
1.6,18.36697
1.65,18.01529
1.7,18.03314
1.75,20.05422
1.8,23.21635
1.85,26.55111
1.9,29.19866
1.95,30.87328
2,31.5543
2.05,31.33489
2.1,30.06063
2.15,27.8508
2.2,25.59496
2.25,23.09084
2.3,21.66241
2.35,20.87719
2.4,20.03234
2.45,19.18251
2.5,18.87958
2.55,18.58673
2.6,18.35305
2.65,18.29174
2.7,18.50042
2.75,19.02768
2.8,19.86084
2.85,20.92901
2.9,22.12109
2.95,23.31651
3,24.40361
3.05,25.29777
3.1,25.92941
3.15,26.24385
3.2,26.22247
3.25,25.86398
3.3,25.19818
3.35,24.28901
3.4,23.67864
3.45,22.98592
3.5,22.20501
3.55,21.46182
3.6,20.76333
3.65,20.09867
3.7,19.50872
3.75,19.80442
3.8,20.11001
3.85,20.38326
3.9,20.62223
3.95,20.82936
4,21.0044
