Period [sec],Damp.=5.0%
0,0
0.05,0.03382
0.1,0.14597
0.15,0.34332
0.2,1.27608
0.25,1.82498
0.3,2.45046
0.35,4.30801
0.4,4.26846
0.45,4.01729
0.5,5.07044
0.55,7.65963
0.6,9.41072
0.65,11.37074
0.7,15.4439
0.75,18.12262
0.8,20.22689
0.85,21.40226
0.9,21.26567
0.95,19.86532
1,18.85985
1.05,18.08492
1.1,17.47136
1.15,17.66656
1.2,23.47528
1.25,29.13762
1.3,30.64221
1.35,25.93142
1.4,26.14967
1.45,29.45729
1.5,32.18738
1.55,34.26354
1.6,35.5074
1.65,35.88649
1.7,35.50641
1.75,34.60079
1.8,33.30383
1.85,33.14204
1.9,33.98659
1.95,35.70076
2,38.19308
2.05,40.24529
2.1,41.85779
2.15,43.10936
2.2,44.10208
2.25,44.91405
2.3,45.63187
2.35,46.29706
2.4,46.97228
2.45,47.68596
2.5,48.41385
2.55,49.12645
2.6,49.80183
2.65,50.43981
2.7,51.05652
2.75,51.66274
2.8,52.2861
2.85,52.95688
2.9,53.70344
2.95,54.55038
3,55.51709
3.05,56.61695
3.1,57.86637
3.15,59.25585
3.2,60.77937
3.25,62.42616
3.3,64.18184
3.35,66.02924
3.4,67.94891
3.45,69.91931
3.5,71.93178
3.55,73.9667
3.6,76.00782
3.65,78.03058
3.7,80.00652
3.75,81.92153
3.8,83.75385
3.85,85.49262
3.9,87.13159
3.95,88.66736
4,90.10863
