Period [sec],Damp.=5.0%
0,0
0.05,0.00015
0.1,0.00054
0.15,0.0007
0.2,0.00056
0.25,0.00058
0.3,0.00059
0.35,0.00054
0.4,0.00069
0.45,0.00067
0.5,0.00055
0.55,0.00055
0.6,0.0005
0.65,0.00059
0.7,0.0007
0.75,0.00068
0.8,0.00072
0.85,0.00088
0.9,0.0011
0.95,0.00123
1,0.00123
1.05,0.00133
1.1,0.0018
1.15,0.00174
1.2,0.00221
1.25,0.00216
1.3,0.0021
1.35,0.00225
1.4,0.00237
1.45,0.00257
1.5,0.00273
1.55,0.00269
1.6,0.00233
1.65,0.00287
1.7,0.0033
1.75,0.00348
1.8,0.00386
1.85,0.00405
1.9,0.00381
1.95,0.0042
2,0.00465
2.05,0.0048
2.1,0.00489
2.15,0.00492
2.2,0.00478
2.25,0.00497
2.3,0.0054
2.35,0.0061
2.4,0.0062
2.45,0.00633
2.5,0.00697
2.55,0.00745
2.6,0.00764
2.65,0.00753
2.7,0.0071
2.75,0.00662
2.8,0.00635
2.85,0.00639
2.9,0.00681
2.95,0.00731
3,0.00755
3.05,0.0075
3.1,0.00742
3.15,0.00749
3.2,0.0077
3.25,0.00783
3.3,0.00765
3.35,0.00717
3.4,0.00733
3.45,0.00755
3.5,0.00751
3.55,0.00734
3.6,0.00768
3.65,0.00802
3.7,0.00837
3.75,0.00871
3.8,0.00906
3.85,0.00974
3.9,0.01028
3.95,0.01072
4,0.01097
