Period [sec],Damp.=5.0%
0,0
0.05,0.00976
0.1,0.08158
0.15,0.22253
0.2,0.3852
0.25,0.45166
0.3,0.70082
0.35,0.84952
0.4,1.59154
0.45,2.57211
0.5,2.48939
0.55,2.48216
0.6,2.55564
0.65,2.42551
0.7,2.30633
0.75,2.4115
0.8,2.55715
0.85,2.67354
0.9,2.65591
0.95,3.31028
1,4.32438
1.05,4.76117
1.1,4.20326
1.15,4.06791
1.2,5.18276
1.25,6.09642
1.3,6.14507
1.35,5.99256
1.4,5.72977
1.45,5.66154
1.5,5.88825
1.55,6.23944
1.6,6.49715
1.65,6.52323
1.7,7.01959
1.75,7.55792
1.8,8.0692
1.85,8.91552
1.9,9.81212
1.95,10.4925
2,10.82113
2.05,10.77145
2.1,10.43063
2.15,9.86986
2.2,9.23675
2.25,8.70018
2.3,8.98642
2.35,9.28887
2.4,9.55096
2.45,9.79586
2.5,10.2697
2.55,11.14091
2.6,11.99031
2.65,12.75669
2.7,13.41166
2.75,13.9567
2.8,14.4038
2.85,14.75814
2.9,15.04231
2.95,15.73808
3,16.56801
3.05,17.44138
3.1,18.36905
3.15,19.27329
3.2,20.10254
3.25,20.79651
3.3,21.27883
3.35,21.67747
3.4,22.78339
3.45,23.91253
3.5,25.08851
3.55,26.35547
3.6,27.71675
3.65,29.0904
3.7,30.44635
3.75,31.77527
3.8,33.09048
3.85,34.41197
3.9,35.71937
3.95,36.98353
4,38.19063
