Period [sec],Damp.=5.0%
0,0
0.05,0.01574
0.1,0.08515
0.15,0.33502
0.2,0.67475
0.25,1.221
0.3,2.50776
0.35,1.44086
0.4,1.75533
0.45,1.71281
0.5,2.07847
0.55,2.42685
0.6,4.6444
0.65,4.36069
0.7,4.02591
0.75,3.96065
0.8,4.04537
0.85,4.7635
0.9,5.90375
0.95,6.85437
1,6.64789
1.05,6.59904
1.1,6.34476
1.15,6.97928
1.2,7.64865
1.25,8.72769
1.3,9.76117
1.35,10.72293
1.4,11.5973
1.45,12.37769
1.5,13.06462
1.55,13.66446
1.6,14.21689
1.65,14.81163
1.7,15.48946
1.75,16.1436
1.8,16.76195
1.85,17.32803
1.9,17.81843
1.95,18.23918
2,18.61122
2.05,18.95666
2.1,19.27709
2.15,19.56395
2.2,19.86068
2.25,20.21817
2.3,20.75575
2.35,21.36674
2.4,22.06264
2.45,22.83861
2.5,23.65344
2.55,24.44545
2.6,25.17448
2.65,25.8272
2.7,26.42046
2.75,26.98944
2.8,27.53196
2.85,28.07861
2.9,28.57552
2.95,29.00073
3,29.35505
3.05,29.62728
3.1,29.8183
3.15,29.9426
3.2,30.02587
3.25,30.0765
3.3,30.1623
3.35,30.37729
3.4,30.78454
3.45,31.25002
3.5,31.72153
3.55,32.15977
3.6,32.58033
3.65,33.00779
3.7,33.41616
3.75,33.81594
3.8,34.19757
3.85,34.52628
3.9,34.80156
3.95,35.02956
4,35.21266
