Period [sec],Damp.=5.0%
0,0
0.05,0.00108
0.1,0.00668
0.15,0.01308
0.2,0.00768
0.25,0.01031
0.3,0.00736
0.35,0.00541
0.4,0.00447
0.45,0.00591
0.5,0.00767
0.55,0.00793
0.6,0.01083
0.65,0.01358
0.7,0.01382
0.75,0.01774
0.8,0.01617
0.85,0.01691
0.9,0.01645
0.95,0.02336
1,0.02929
1.05,0.02888
1.1,0.02767
1.15,0.02365
1.2,0.02405
1.25,0.0207
1.3,0.02191
1.35,0.02362
1.4,0.02596
1.45,0.02635
1.5,0.02435
1.55,0.02614
1.6,0.02756
1.65,0.02928
1.7,0.03252
1.75,0.0352
1.8,0.03557
1.85,0.03184
1.9,0.02894
1.95,0.02537
2,0.02225
2.05,0.02063
2.1,0.0194
2.15,0.01861
2.2,0.01793
2.25,0.01742
2.3,0.01763
2.35,0.0177
2.4,0.01712
2.45,0.01712
2.5,0.01761
2.55,0.01794
2.6,0.0182
2.65,0.0183
2.7,0.01823
2.75,0.01807
2.8,0.01796
2.85,0.01834
2.9,0.01932
2.95,0.01937
3,0.01868
3.05,0.01841
3.1,0.01879
3.15,0.01903
3.2,0.01876
3.25,0.01807
3.3,0.0187
3.35,0.01951
3.4,0.02013
3.45,0.02079
3.5,0.02155
3.55,0.02232
3.6,0.02282
3.65,0.02286
3.7,0.02329
3.75,0.02354
3.8,0.02363
3.85,0.02384
3.9,0.02431
3.95,0.02498
4,0.02565
